"service_id","date","exception_type"
"1_年末・年始","20181103","2"
"1_平日","20181123","2"
"1_土日祝","20181123","1"
"1_年末・年始","20181123","2"
"1_年末・年始","20181223","2"
"1_平日","20181224","2"
"1_土日祝","20181224","1"
"1_年末・年始","20181224","2"
"1_平日","20181231","2"
"1_土日祝","20181231","2"
"1_年末・年始","20181231","1"
"1_平日","20190101","2"
"1_土日祝","20190101","2"
"1_年末・年始","20190101","1"
"1_平日","20190102","2"
"1_土日祝","20190102","2"
"1_年末・年始","20190102","1"
"1_平日","20190103","2"
"1_土日祝","20190103","2"
"1_年末・年始","20190103","1"
"1_平日","20190114","2"
"1_土日祝","20190114","1"
"1_年末・年始","20190114","2"
"1_平日","20190211","2"
"1_土日祝","20190211","1"
"1_年末・年始","20190211","2"
"1_平日","20190321","2"
"1_土日祝","20190321","1"
"1_年末・年始","20190321","2"
"1_平日","20190429","2"
"1_土日祝","20190429","1"
"1_年末・年始","20190429","2"
"1_平日","20190503","2"
"1_土日祝","20190503","1"
"1_年末・年始","20190503","2"
"1_年末・年始","20190504","2"
"1_年末・年始","20190505","2"
"1_平日","20190506","2"
"1_土日祝","20190506","1"
"1_年末・年始","20190506","2"
"1_平日","20190715","2"
"1_土日祝","20190715","1"
"1_年末・年始","20190715","2"
"1_年末・年始","20190811","2"
"1_平日","20190812","2"
"1_土日祝","20190812","1"
"1_年末・年始","20190812","2"
"1_平日","20190813","2"
"1_土日祝","20190813","1"
"1_年末・年始","20190813","2"
"1_平日","20190814","2"
"1_土日祝","20190814","1"
"1_年末・年始","20190814","2"
"1_平日","20190815","2"
"1_土日祝","20190815","1"
"1_年末・年始","20190815","2"
"1_平日","20190916","2"
"1_土日祝","20190916","1"
"1_年末・年始","20190916","2"
"1_平日","20190923","2"
"1_土日祝","20190923","1"
"1_年末・年始","20190923","2"
"1_平日","20191014","2"
"1_土日祝","20191014","1"
"1_年末・年始","20191014","2"
"4_平日","20181008","2"
"4_日祝","20181008","1"
"4_年末・年始","20181008","2"
"4_土曜","20181103","2"
"4_日祝","20181103","1"
"4_年末・年始","20181103","2"
"4_平日","20181123","2"
"4_日祝","20181123","1"
"4_年末・年始","20181123","2"
"4_年末・年始","20181223","2"
"4_平日","20181224","2"
"4_日祝","20181224","1"
"4_年末・年始","20181224","2"
"4_平日","20181225","2"
"4_土曜","20181225","2"
"4_日祝","20181225","2"
"4_特別ダイヤ１","20181225","1"
"4_平日","20181226","2"
"4_土曜","20181226","2"
"4_日祝","20181226","2"
"4_特別ダイヤ１","20181226","1"
"4_平日","20181227","2"
"4_土曜","20181227","2"
"4_日祝","20181227","2"
"4_特別ダイヤ１","20181227","1"
"4_平日","20181228","2"
"4_土曜","20181228","2"
"4_日祝","20181228","2"
"4_特別ダイヤ１","20181228","1"
"4_平日","20181231","2"
"4_土曜","20181231","2"
"4_日祝","20181231","2"
"4_特別ダイヤ１","20181231","1"
"4_平日","20190101","2"
"4_土曜","20190101","2"
"4_日祝","20190101","2"
"4_年末・年始","20190101","1"
"4_平日","20190102","2"
"4_土曜","20190102","2"
"4_日祝","20190102","2"
"4_年末・年始","20190102","1"
"4_平日","20190103","2"
"4_土曜","20190103","2"
"4_日祝","20190103","2"
"4_年末・年始","20190103","1"
"4_平日","20190114","2"
"4_日祝","20190114","1"
"4_年末・年始","20190114","2"
"4_平日","20190211","2"
"4_日祝","20190211","1"
"4_年末・年始","20190211","2"
"4_平日","20190321","2"
"4_日祝","20190321","1"
"4_年末・年始","20190321","2"
"4_平日","20190429","2"
"4_日祝","20190429","1"
"4_年末・年始","20190429","2"
"4_平日","20190503","2"
"4_日祝","20190503","1"
"4_年末・年始","20190503","2"
"4_土曜","20190504","2"
"4_日祝","20190504","1"
"4_年末・年始","20190504","2"
"4_年末・年始","20190505","2"
"4_平日","20190506","2"
"4_日祝","20190506","1"
"4_年末・年始","20190506","2"
"4_平日","20190715","2"
"4_日祝","20190715","1"
"4_年末・年始","20190715","2"
"4_年末・年始","20190811","2"
"4_平日","20190812","2"
"4_日祝","20190812","1"
"4_年末・年始","20190812","2"
"4_平日","20190916","2"
"4_日祝","20190916","1"
"4_年末・年始","20190916","2"
"4_平日","20190923","2"
"4_日祝","20190923","1"
"4_年末・年始","20190923","2"
"4_平日","20191014","2"
"4_日祝","20191014","1"
"4_年末・年始","20191014","2"
