"fare_id","price","currency_type","payment_method","transfers","agency_id"
"1_150","150","JPY","0","0","3000020412015"
"1_210","210","JPY","0","0","3000020412015"
"1_270","270","JPY","0","0","3000020412015"
"1_340","340","JPY","0","0","3000020412015"
"1_390","390","JPY","0","0","3000020412015"
"1_450","450","JPY","0","0","3000020412015"
"1_470","470","JPY","0","0","3000020412015"
"1_500","500","JPY","0","0","3000020412015"
"1_580","580","JPY","0","0","3000020412015"
"1_170","170","JPY","0","0","3000020412015"
"1_230","230","JPY","0","0","3000020412015"
"1_300","300","JPY","0","0","3000020412015"
"1_360","360","JPY","0","0","3000020412015"
"1_410","410","JPY","0","0","3000020412015"
"1_430","430","JPY","0","0","3000020412015"
"1_530","530","JPY","0","0","3000020412015"
"1_190","190","JPY","0","0","3000020412015"
"1_320","320","JPY","0","0","3000020412015"
"1_370","370","JPY","0","0","3000020412015"
"1_400","400","JPY","0","0","3000020412015"
"1_380","380","JPY","0","0","3000020412015"
"1_460","460","JPY","0","0","3000020412015"
"1_220","220","JPY","0","0","3000020412015"
"1_290","290","JPY","0","0","3000020412015"
"1_330","330","JPY","0","0","3000020412015"
"1_200","200","JPY","0","0","3000020412015"
"1_250","250","JPY","0","0","3000020412015"
"1_280","280","JPY","0","0","3000020412015"
"1_160","160","JPY","0","0","3000020412015"
"1_260","260","JPY","0","0","3000020412015"
"1_310","310","JPY","0","0","3000020412015"
"1_490","490","JPY","0","0","3000020412015"
"1_550","550","JPY","0","0","3000020412015"
"1_510","510","JPY","0","0","3000020412015"
"1_350","350","JPY","0","0","3000020412015"
"1_420","420","JPY","0","0","3000020412015"
"1_480","480","JPY","0","0","3000020412015"
"1_440","440","JPY","0","0","3000020412015"
"1_240","240","JPY","0","0","3000020412015"
"1_520","520","JPY","0","0","3000020412015"
"1_560","560","JPY","0","0","3000020412015"
"1_590","590","JPY","0","0","3000020412015"
"1_620","620","JPY","0","0","3000020412015"
"1_610","610","JPY","0","0","3000020412015"
"1_600","600","JPY","0","0","3000020412015"
"1_630","630","JPY","0","0","3000020412015"
"1_570","570","JPY","0","0","3000020412015"
"4_150","150","JPY","0","0","7300001004995"
"4_170","170","JPY","0","0","7300001004995"
"4_160","160","JPY","0","0","7300001004995"
"4_250","250","JPY","0","0","7300001004995"
"4_280","280","JPY","0","0","7300001004995"
"4_330","330","JPY","0","0","7300001004995"
"4_360","360","JPY","0","0","7300001004995"
"4_190","190","JPY","0","0","7300001004995"
"4_270","270","JPY","0","0","7300001004995"
"4_220","220","JPY","0","0","7300001004995"
"4_240","240","JPY","0","0","7300001004995"
"4_230","230","JPY","0","0","7300001004995"
"4_210","210","JPY","0","0","7300001004995"
"4_200","200","JPY","0","0","7300001004995"
"4_260","260","JPY","0","0","7300001004995"
"4_340","340","JPY","0","0","7300001004995"
"4_390","390","JPY","0","0","7300001004995"
"4_400","400","JPY","0","0","7300001004995"
"4_290","290","JPY","0","0","7300001004995"
"4_350","350","JPY","0","0","7300001004995"
"4_180","180","JPY","0","0","7300001004995"
"4_310","310","JPY","0","0","7300001004995"
"4_380","380","JPY","0","0","7300001004995"
"4_440","440","JPY","0","0","7300001004995"
"4_480","480","JPY","0","0","7300001004995"
"4_510","510","JPY","0","0","7300001004995"
"4_560","560","JPY","0","0","7300001004995"
"4_590","590","JPY","0","0","7300001004995"
"4_600","600","JPY","0","0","7300001004995"
"4_610","610","JPY","0","0","7300001004995"
"4_660","660","JPY","0","0","7300001004995"
"4_680","680","JPY","0","0","7300001004995"
"4_730","730","JPY","0","0","7300001004995"
"4_790","790","JPY","0","0","7300001004995"
"4_810","810","JPY","0","0","7300001004995"
"4_450","450","JPY","0","0","7300001004995"
"4_540","540","JPY","0","0","7300001004995"
"4_570","570","JPY","0","0","7300001004995"
"4_650","650","JPY","0","0","7300001004995"
"4_710","710","JPY","0","0","7300001004995"
"4_300","300","JPY","0","0","7300001004995"
"4_430","430","JPY","0","0","7300001004995"
"4_520","520","JPY","0","0","7300001004995"
"4_580","580","JPY","0","0","7300001004995"
"4_640","640","JPY","0","0","7300001004995"
"4_700","700","JPY","0","0","7300001004995"
"4_780","780","JPY","0","0","7300001004995"
"4_370","370","JPY","0","0","7300001004995"
"4_420","420","JPY","0","0","7300001004995"
"4_470","470","JPY","0","0","7300001004995"
"4_490","490","JPY","0","0","7300001004995"
"4_550","550","JPY","0","0","7300001004995"
"4_620","620","JPY","0","0","7300001004995"
"4_760","760","JPY","0","0","7300001004995"
"4_770","770","JPY","0","0","7300001004995"
"4_460","460","JPY","0","0","7300001004995"
"4_750","750","JPY","0","0","7300001004995"
"4_630","630","JPY","0","0","7300001004995"
"4_410","410","JPY","0","0","7300001004995"
"4_530","530","JPY","0","0","7300001004995"
"4_500","500","JPY","0","0","7300001004995"
"4_320","320","JPY","0","0","7300001004995"
"4_690","690","JPY","0","0","7300001004995"
"4_800","800","JPY","0","0","7300001004995"
"4_820","820","JPY","0","0","7300001004995"
"4_850","850","JPY","0","0","7300001004995"
"4_870","870","JPY","0","0","7300001004995"
"4_890","890","JPY","0","0","7300001004995"
"4_920","920","JPY","0","0","7300001004995"
"4_940","940","JPY","0","0","7300001004995"
"4_970","970","JPY","0","0","7300001004995"
"4_1000","1000","JPY","0","0","7300001004995"
"4_670","670","JPY","0","0","7300001004995"
"4_740","740","JPY","0","0","7300001004995"
"4_840","840","JPY","0","0","7300001004995"
"4_860","860","JPY","0","0","7300001004995"
"4_880","880","JPY","0","0","7300001004995"
"4_910","910","JPY","0","0","7300001004995"
"4_950","950","JPY","0","0","7300001004995"
"4_990","990","JPY","0","0","7300001004995"
"4_960","960","JPY","0","0","7300001004995"
"4_980","980","JPY","0","0","7300001004995"
"4_930","930","JPY","0","0","7300001004995"
"4_830","830","JPY","0","0","7300001004995"
"4_720","720","JPY","0","0","7300001004995"
"4_100","100","JPY","0","0","7300001004995"
