"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"1001002-03","","佐賀駅バスセンター(3)","","33.26443","130.29936","1001002-03","","0","1001002","",""
"1002003-10","","市役所前(1)","","33.263755","130.300205","1002003-10","","0","1002003","",""
"1002004-20","","駅南本町(2)","","33.261857","130.298712","1002004-20","","0","1002004","",""
"1002005-20","","唐人町(2)","","33.258145","130.299266","1002005-20","","0","1002005","",""
"1002006-20","","白山(2)","","33.255358","130.299751","1002006-20","","0","1002006","",""
"1002007-20","","中の小路(2)","","33.254056","130.299978","1002007-20","","0","1002007","",""
"1002008-20","","県庁前(2)","","33.251526","130.30029","1002008-20","","0","1002008","",""
"1002009-20","","佐嘉神社前(2)","","33.251064","130.30207","1002009-20","","0","1002009","",""
"1011039-06","","片田江(6)[片田江西]","","33.251407","130.305366","1011039-06","","0","1011039","",""
"1020092-00","","水ヶ江大通り","","33.24954","130.30637","1020092-00","","0","1020092","",""
"1020093-10","","大隈重信記念館入口(1)","","33.24824","130.306808","1020093-10","","0","1020093","",""
"1020094-20","","竜校前(2)","","33.24588","130.30806","1020094-20","","0","1020094","",""
"1020095-10","","横小路(1)","","33.244397","130.308375","1020095-10","","0","1020095","",""
"1020096-03","","大崎(3)","","33.24135","130.30984","1020096-03","","0","1020096","",""
"1023135-20","","袋住宅前(2)","","33.23883","130.31024","1023135-20","","0","1023135","",""
"1023136-20","","八田橋(2)","","33.23708","130.31035","1023136-20","","0","1023136","",""
"1023137-20","","八田宮前(2)","","33.23366","130.31172","1023137-20","","0","1023137","",""
"1023138-20","","三角茶屋(2)","","33.2305","130.31232","1023138-20","","0","1023138","",""
"1023139-20","","南里(2)","","33.22661","130.31334","1023139-20","","0","1023139","",""
"1023140-20","","農業大学校前(2)","","33.22302","130.31348","1023140-20","","0","1023140","",""
"1023141-20","","南里南(2)","","33.22025","130.31345","1023141-20","","0","1023141","",""
"1023142-20","","坂井(2)","","33.21429","130.31332","1023142-20","","0","1023142","",""
"1023143-20","","西古賀(2)","","33.21078","130.31332","1023143-20","","0","1023143","",""
"1023144-20","","西川副小学校前(2)","","33.2074","130.31363","1023144-20","","0","1023144","",""
"1023145-20","","鋤崎(2)","","33.2024","130.31416","1023145-20","","0","1023145","",""
"1023146-20","","小々森入口(2)","","33.19677","130.31479","1023146-20","","0","1023146","",""
"1023147-20","","鹿江団地東(2)","","33.19364","130.31528","1023147-20","","0","1023147","",""
"1023148-20","","咾分(2)","","33.19181","130.31648","1023148-20","","0","1023148","",""
"1023149-20","","川副支所前(2)","","33.19159","130.31924","1023149-20","","0","1023149","",""
"1023150-20","","犬井道(2)","","33.18955","130.32022","1023150-20","","0","1023150","",""
"1023151-20","","平田分(2)","","33.18934","130.32281","1023151-20","","0","1023151","",""
"1023152-10","","和崎(1)","","33.19007","130.32912","1023152-10","","0","1023152","",""
"1023153-20","","中津(2)","","33.1898","130.33124","1023153-20","","0","1023153","",""
"1023154-20","","上の小路(2)","","33.18279","130.34258","1023154-20","","0","1023154","",""
"1023155-00","","大詫間","","33.17902","130.34241","1023155-00","","0","1023155","",""
"1023154-10","","上の小路(1)","","33.18272","130.34238","1023154-10","","0","1023154","",""
"1023153-10","","中津(1)","","33.18962","130.33096","1023153-10","","0","1023153","",""
"1023151-10","","平田分(1)","","33.18931","130.32361","1023151-10","","0","1023151","",""
"1023150-10","","犬井道(1)","","33.19018","130.31938","1023150-10","","0","1023150","",""
"1023149-10","","川副支所前(1)","","33.19149","130.31918","1023149-10","","0","1023149","",""
"1023148-10","","咾分(1)","","33.19175","130.31609","1023148-10","","0","1023148","",""
"1023147-10","","鹿江団地東(1)","","33.19365","130.31517","1023147-10","","0","1023147","",""
"1023146-10","","小々森入口(1)","","33.19642","130.31476","1023146-10","","0","1023146","",""
"1023145-10","","鋤崎(1)","","33.20293","130.31403","1023145-10","","0","1023145","",""
"1023144-10","","西川副小学校前(1)","","33.20747","130.31349","1023144-10","","0","1023144","",""
"1023143-10","","西古賀(1)","","33.2109","130.31322","1023143-10","","0","1023143","",""
"1023142-10","","坂井(1)","","33.21497","130.31325","1023142-10","","0","1023142","",""
"1023141-10","","南里南(1)","","33.22022","130.31332","1023141-10","","0","1023141","",""
"1023140-10","","農業大学校前(1)","","33.22356","130.31334","1023140-10","","0","1023140","",""
"1023139-10","","南里(1)","","33.22548","130.31334","1023139-10","","0","1023139","",""
