"trans_id","lang","translation"
"佐賀駅バスセンター(3)","ja","佐賀駅バスセンター(3)"
"佐賀駅バスセンター(3)","ja-Hrkt","さがえきばすせんたー"
"市役所前(1)","ja","市役所前(1)"
"市役所前(1)","ja-Hrkt","しやくしょまえ"
"駅南本町(2)","ja","駅南本町(2)"
"駅南本町(2)","ja-Hrkt","えきみなみほんまち"
"唐人町(2)","ja","唐人町(2)"
"唐人町(2)","ja-Hrkt","とうじんまち"
"白山(2)","ja","白山(2)"
"白山(2)","ja-Hrkt","しらやま"
"中の小路(2)","ja","中の小路(2)"
"中の小路(2)","ja-Hrkt","なかのこうじ"
"県庁前(2)","ja","県庁前(2)"
"県庁前(2)","ja-Hrkt","けんちょうまえ"
"佐嘉神社前(2)","ja","佐嘉神社前(2)"
"佐嘉神社前(2)","ja-Hrkt","さがじんじゃまえ"
"片田江(6)[片田江西]","ja","片田江(6)[片田江西]"
"片田江(6)[片田江西]","ja-Hrkt","かたたえ"
"水ヶ江大通り","ja","水ヶ江大通り"
"水ヶ江大通り","ja-Hrkt","みずがえおおどおり"
"大隈重信記念館入口(1)","ja","大隈重信記念館入口(1)"
"大隈重信記念館入口(1)","ja-Hrkt","おおくましげのぶきねんかんいりぐち"
"竜校前(2)","ja","竜校前(2)"
"竜校前(2)","ja-Hrkt","りゅうこうまえ"
"横小路(1)","ja","横小路(1)"
"横小路(1)","ja-Hrkt","よここうじ"
"大崎(3)","ja","大崎(3)"
"大崎(3)","ja-Hrkt","おおさき"
"袋住宅前(2)","ja","袋住宅前(2)"
"袋住宅前(2)","ja-Hrkt","ふくろじゅうたくまえ"
"八田橋(2)","ja","八田橋(2)"
"八田橋(2)","ja-Hrkt","はったばし"
"八田宮前(2)","ja","八田宮前(2)"
"八田宮前(2)","ja-Hrkt","はったみやまえ"
"三角茶屋(2)","ja","三角茶屋(2)"
"三角茶屋(2)","ja-Hrkt","さんかくちゃや"
"南里(2)","ja","南里(2)"
"南里(2)","ja-Hrkt","なんり"
"農業大学校前(2)","ja","農業大学校前(2)"
"農業大学校前(2)","ja-Hrkt","のうぎょうだいがっこうまえ"
"南里南(2)","ja","南里南(2)"
"南里南(2)","ja-Hrkt","なんりみなみ"
"坂井(2)","ja","坂井(2)"
"坂井(2)","ja-Hrkt","さかい"
"西古賀(2)","ja","西古賀(2)"
"西古賀(2)","ja-Hrkt","にしこが"
"西川副小学校前(2)","ja","西川副小学校前(2)"
"西川副小学校前(2)","ja-Hrkt","にしかわそえしょうがっこうまえ"
"鋤崎(2)","ja","鋤崎(2)"
"鋤崎(2)","ja-Hrkt","すきざき"
"小々森入口(2)","ja","小々森入口(2)"
"小々森入口(2)","ja-Hrkt","こごもりいりぐち"
"鹿江団地東(2)","ja","鹿江団地東(2)"
"鹿江団地東(2)","ja-Hrkt","かのえだんちひがし"
"咾分(2)","ja","咾分(2)"
"咾分(2)","ja-Hrkt","おとなぶん"
"川副支所前(2)","ja","川副支所前(2)"
"川副支所前(2)","ja-Hrkt","かわそえししょまえ"
"犬井道(2)","ja","犬井道(2)"
"犬井道(2)","ja-Hrkt","いぬいどう"
"平田分(2)","ja","平田分(2)"
"平田分(2)","ja-Hrkt","へいだぶん"
"和崎(1)","ja","和崎(1)"
"和崎(1)","ja-Hrkt","わざき"
"中津(2)","ja","中津(2)"
"中津(2)","ja-Hrkt","なかつ"
"上の小路(2)","ja","上の小路(2)"
"上の小路(2)","ja-Hrkt","かみのしょうじ"
"大詫間","ja","大詫間"
"大詫間","ja-Hrkt","おおだくま"
"上の小路(1)","ja","上の小路(1)"
"上の小路(1)","ja-Hrkt","かみのしょうじ"
"中津(1)","ja","中津(1)"
"中津(1)","ja-Hrkt","なかつ"
"平田分(1)","ja","平田分(1)"
"平田分(1)","ja-Hrkt","へいだぶん"
"犬井道(1)","ja","犬井道(1)"
"犬井道(1)","ja-Hrkt","いぬいどう"
"川副支所前(1)","ja","川副支所前(1)"
"川副支所前(1)","ja-Hrkt","かわそえししょまえ"
"咾分(1)","ja","咾分(1)"
"咾分(1)","ja-Hrkt","おとなぶん"
"鹿江団地東(1)","ja","鹿江団地東(1)"
"鹿江団地東(1)","ja-Hrkt","かのえだんちひがし"
"小々森入口(1)","ja","小々森入口(1)"
"小々森入口(1)","ja-Hrkt","こごもりいりぐち"
"鋤崎(1)","ja","鋤崎(1)"
"鋤崎(1)","ja-Hrkt","すきざき"
"西川副小学校前(1)","ja","西川副小学校前(1)"
"西川副小学校前(1)","ja-Hrkt","にしかわそえしょうがっこうまえ"
"西古賀(1)","ja","西古賀(1)"
"西古賀(1)","ja-Hrkt","にしこが"
"坂井(1)","ja","坂井(1)"
"坂井(1)","ja-Hrkt","さかい"
"南里南(1)","ja","南里南(1)"
"南里南(1)","ja-Hrkt","なんりみなみ"
"農業大学校前(1)","ja","農業大学校前(1)"
"農業大学校前(1)","ja-Hrkt","のうぎょうだいがっこうまえ"
"南里(1)","ja","南里(1)"
"南里(1)","ja-Hrkt","なんり"
"三角茶屋(1)","ja","三角茶屋(1)"
"三角茶屋(1)","ja-Hrkt","さんかくちゃや"
"八田宮前(1)","ja","八田宮前(1)"
"八田宮前(1)","ja-Hrkt","はったみやまえ"
"八田橋(1)","ja","八田橋(1)"
"八田橋(1)","ja-Hrkt","はったばし"
"袋住宅前(1)","ja","袋住宅前(1)"
"袋住宅前(1)","ja-Hrkt","ふくろじゅうたくまえ"
"大崎(4)","ja","大崎(4)"
"大崎(4)","ja-Hrkt","おおさき"
"横小路(2)","ja","横小路(2)"
"横小路(2)","ja-Hrkt","よここうじ"
"竜校前(1)","ja","竜校前(1)"
"竜校前(1)","ja-Hrkt","りゅうこうまえ"
"大隈重信記念館入口(2)","ja","大隈重信記念館入口(2)"
"大隈重信記念館入口(2)","ja-Hrkt","おおくましげのぶきねんかんいりぐち"
"片田江(5)[片田江西]","ja","片田江(5)[片田江西]"
"片田江(5)[片田江西]","ja-Hrkt","かたたえ"
"佐嘉神社前(1)","ja","佐嘉神社前(1)"
"佐嘉神社前(1)","ja-Hrkt","さがじんじゃまえ"
"県庁前(1)","ja","県庁前(1)"
"県庁前(1)","ja-Hrkt","けんちょうまえ"
"中の小路(1)","ja","中の小路(1)"
"中の小路(1)","ja-Hrkt","なかのこうじ"
"白山(1)","ja","白山(1)"
"白山(1)","ja-Hrkt","しらやま"
"唐人町(1)","ja","唐人町(1)"
"唐人町(1)","ja-Hrkt","とうじんまち"
"駅南本町(1)","ja","駅南本町(1)"
"駅南本町(1)","ja-Hrkt","えきみなみほんまち"
"市役所前(2)","ja","市役所前(2)"
"市役所前(2)","ja-Hrkt","しやくしょまえ"
"大崎(1)","ja","大崎(1)"
"大崎(1)","ja-Hrkt","おおさき"
"自動車学校前(2)","ja","自動車学校前(2)"
